"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantRF",0.3182,0.11036,0.0470222291902611,0.078962550687326,"Inexact",1
"quantRF",0.3244,0.10292,0.164579276259887,0.201476008591941,"Inexact",1
"quantRF",0.3228,0.11692,0.0571862970037255,0.124162615065837,"Inexact",1
"quantRF",0.3152,0.11124,0.223238331535431,0.103813219416788,"Inexact",1
"quantRF",0.3182,0.10456,0.0639293053161872,0.0715053139776393,"Inexact",1
"quantRF",0.3276,0.1034,0.053437342174393,0.160195570598921,"Inexact",1
"quantRF",0.3038,0.10156,0.147482552776762,0.0820184827442176,"Inexact",1
"quantRF",0.3198,0.10092,0.0733175072385095,0.172506270619333,"Inexact",1
"quantRF",0.3232,0.10104,0.0596391931455495,0.280226843152986,"Inexact",1
"quantRF",0.3128,0.09856,0.0412245222373496,0.0264604898116357,"Inexact",1
"quantRF",0.317,0.09156,0.0858801713546236,0.293098098517429,"Inexact",1
"quantRF",0.3122,0.09776,0.0547489831016971,0.084101549616266,"Inexact",1
"quantRF",0.3178,0.09472,0.107092138672946,0.147425124275366,"Inexact",1
"quantRF",0.3124,0.1076,0.0958215358215358,0.124710424710425,"Inexact",1
"quantRF",0.3142,0.11132,0.38140408341522,0.0805022382356152,"Inexact",1
"quantRF",0.3214,0.10544,0.146471070188444,0.0738472075915015,"Inexact",1
"quantRF",0.323,0.11388,0.10322004908158,0.206195654269574,"Inexact",1
"quantRF",0.3276,0.11096,0.0669511389754794,0.0477834350781945,"Inexact",1
"quantRF",0.316,0.09828,0.180691299492269,0.0763486752025434,"Inexact",1
"quantRF",0.3274,0.1072,0.143088844496965,0.143614276593698,"Inexact",1
"quantRF",0.319,0.10348,0.0881778747851137,0.0653081807169406,"Inexact",1
"quantRF",0.3322,0.11832,0.0789023290631008,0.0971707582640059,"Inexact",1
"quantRF",0.3218,0.10464,0.0956928356928357,0.114637494637495,"Inexact",1
"quantRF",0.3252,0.10096,0.119345815764228,0.0510354617049283,"Inexact",1
"quantRF",0.322,0.11484,0.073852117066025,0.0358523040614118,"Inexact",1
"quantRF",0.3226,0.10008,0.0624652777777778,0.0657291666666667,"Inexact",1
"quantRF",0.316,0.10372,0.234776764494785,0.141137796746648,"Inexact",1
"quantRF",0.3112,0.1012,0.186457598793889,0.211232007598716,"Inexact",1
"quantRF",0.3302,0.10776,0.0367735243365712,0.130881949695464,"Inexact",1
"quantRF",0.322,0.10556,0.144149471888299,0.0499472825343809,"Inexact",1
"quantRF",0.3136,0.10728,0.215410870352175,0.159280136525831,"Inexact",1
"quantRF",0.322,0.11176,0.0602918268593398,0.105488256219895,"Inexact",1
"quantRF",0.3214,0.10832,0.0639702640618306,0.0770830348596499,"Inexact",1
"quantRF",0.3162,0.09336,0.193018200606182,0.0838981220054943,"Inexact",1
"quantRF",0.3242,0.10204,0.349552878971068,0.222638059575269,"Inexact",1
"quantRF",0.3118,0.1146,0.15747633613961,0.0516828983708603,"Inexact",1
"quantRF",0.3202,0.10024,0.112244099684354,0.0815075597272633,"Inexact",1
"quantRF",0.3206,0.10972,0.0973357782332003,0.129457447955992,"Inexact",1
"quantRF",0.3132,0.09456,0.143204503607643,0.0874373095404545,"Inexact",1
"quantRF",0.3222,0.11688,0.138216115510014,0.115487834630825,"Inexact",1
"quantRF",0.3246,0.1058,0.037144404785918,0.0704322295098372,"Inexact",1
"quantRF",0.3206,0.1078,0.126566293866674,0.0499312294834053,"Inexact",1
"quantRF",0.3148,0.09592,0.0772837857307219,0.0611055689500597,"Inexact",1
"quantRF",0.3166,0.11048,0.128463137776515,0.117331508193757,"Inexact",1
"quantRF",0.309,0.09156,0.0467071000065924,0.104739380754609,"Inexact",1
"quantRF",0.3158,0.1014,0.086154657740068,0.0982519665031596,"Inexact",1
"quantRF",0.3118,0.10532,0.149205742712385,0.208568203713766,"Inexact",1
"quantRF",0.3198,0.1138,0.0635689782972195,0.0885763044939753,"Inexact",1
"quantRF",0.3078,0.10224,0.0792993414352638,0.073652541437184,"Inexact",1
"quantRF",0.32,0.10244,0.0863994542639998,0.227306486565555,"Inexact",1
"quantRF",0.3244,0.10808,0.0824055287549607,0.0749858164578128,"Inexact",1
"quantRF",0.3156,0.10892,0.12726852671364,0.24988254933401,"Inexact",1
"quantRF",0.3172,0.09444,0.0760516455488995,0.0691549918419374,"Inexact",1
"quantRF",0.3204,0.10864,0.132605989525634,0.309206971820699,"Inexact",1
"quantRF",0.3136,0.09312,0.0656637842546981,0.104840122296205,"Inexact",1
"quantRF",0.3202,0.11352,0.0795388472920533,0.17897870232358,"Inexact",1
"quantRF",0.3172,0.1028,0.110313652816987,0.123197492163009,"Inexact",1
"quantRF",0.3182,0.1084,0.0470505574822247,0.14294781059602,"Inexact",1
"quantRF",0.3128,0.09408,0.170459664363385,0.0935340673621103,"Inexact",1
"quantRF",0.3188,0.10104,0.230767331153564,0.0670173705003574,"Inexact",1
"quantRF",0.3224,0.10676,0.151456355748593,0.103879665468271,"Inexact",1
"quantRF",0.3092,0.10212,0.109583829561995,0.0459397468131094,"Inexact",1
"quantRF",0.3258,0.10316,0.105949312610918,0.0677493249073108,"Inexact",1
"quantRF",0.3142,0.09484,0.167919737650259,0.119544891199438,"Inexact",1
"quantRF",0.319,0.10608,0.203636190649178,0.1287950145093,"Inexact",1
"quantRF",0.3216,0.09612,0.0353705304320826,0.0763025837689964,"Inexact",1
"quantRF",0.3256,0.1072,0.140917871873858,0.0478602133695331,"Inexact",1
